match_id,start_time,patch_version,radiant_win,radiant_recent_winrate,dire_recent_winrate,r1_hero_winrate,r2_hero_winrate,r3_hero_winrate,r4_hero_winrate,r5_hero_winrate,d1_hero_winrate,d2_hero_winrate,d3_hero_winrate,d4_hero_winrate,d5_hero_winrate
8707774059,1772138894,59,1,0.5,0.6,1.0,1.0,0.5,0.5,1.0,0.6667,0.7143,0.7143,0.5,1.0
8707822522,1772142720,59,1,0.4,0.45,1.0,0.5,0.0,1.0,0.25,0.0,0.5,1.0,0.5,0.5714
8707867898,1772146740,59,0,0.4,0.45,0.5,1.0,0.75,0.5,0.625,0.5,0.5,0.0,0.5,0.5
8707906607,1772151035,59,1,0.35,0.5,1.0,0.5,0.5,0.6667,0.5,1.0,1.0,0.0,1.0,0.5
8708293887,1772187898,59,1,0.7,0.85,0.5,0.7778,1.0,1.0,0.5,1.0,0.5,0.75,1.0,1.0
8708294079,1772187900,59,0,0.55,0.4,0.8889,0.5,0.8571,0.9091,1.0,0.5,1.0,0.0,0.5,0.5556
8708347585,1772191260,59,0,0.45,0.5,0.6667,0.3333,0.5,0.6667,0.5,0.8,0.8333,0.6,0.3333,0.7778
8708368779,1772192458,59,1,0.8,0.7,1.0,0.6667,0.75,0.5,1.0,0.6667,0.5,0.75,1.0,0.7143
8708443393,1772196118,59,0,0.65,0.8,0.5556,0.7,1.0,0.0,1.0,0.0,0.5,1.0,0.6667,1.0
8708445472,1772196180,59,0,0.45,0.55,0.5,0.0,1.0,0.3333,0.2,1.0,0.8462,0.5,0.8333,0.6667
8708568399,1772201275,59,0,0.55,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.6667,0.0,0.5,0.0
8708565430,1772202250,59,1,0.4,0.35,0.5,0.75,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.6667
8708689404,1772206023,59,1,0.55,0.5,0.5556,0.6667,0.5,1.0,0.6667,0.5,0.5,0.5,0.5,0.5
8708690141,1772206140,59,0,0.3,0.4,0.5,0.5,1.0,0.7143,0.5,0.5,0.8,1.0,0.5,1.0
8708807338,1772211121,59,0,0.55,0.45,1.0,0.3333,0.0,1.0,0.7,0.6667,0.5,0.8,1.0,0.5
